"Very High Voltage (kWh)";"High Voltage (kWh)";"Medium Voltage (kWh)";"Low Voltage (kWh)";"Total (kWh)";"temperature_2m (°C)";"relative_humidity_2m (%)";"precipitation (mm)";"apparent_temperature (°C)";"cloud_cover (%)";"surface_pressure (hPa)";"wind_speed_10m (km/h)";"Diffuse_Radiation";"Direct_Radiation";"wind_speed_100m (km/h)";"wind_direction_10m (°)";"wind_direction_100m (°)";"wind_gusts_10m (km/h)";"terrestrial_radiation (W/m²)";"Consumptions";"year";"month";"day_of_year";"day_of_week";"hour";"estacao_ano";"weekend"
88168.786725;220924.351675;636824.7926749999;907068.3152175;1852986.2462924998;14.2;96;1.2;12.8;100;981.5;17.9;"None";"None";31.3;176;181;36.7;15.8;"Medium-Low Consumption";2025;1;21;3;8;"Winter";0
72255.827225;214433.702725;700107.768225;980924.1661345;1967721.4643095;14.2;95;0.2;13;99;982.5;15.8;"Low";"None";26.7;187;188;31.3;176.6;"High Consumption";2025;1;21;3;9;"Winter";0
67562.8157;207985.96765;680420.884925;1002266.68313425;1958236.35140925;14.1;94;4.8;12.4;100;982.4;18.2;"Low";"Low";30.1;183.75;186.75;36;401.9;"High Consumption";2025;1;21;3;10;"Winter";0
66994.602775;201728.43335;672871.0958;1026926.846224;1968520.978149;15.6;89;0.1;13.5;100;982.4;22.6;"Low";"Medium";34.8;185;189;42.5;579.8;"High Consumption";2025;1;21;3;11;"Winter";0
83361.455725;199240.9769;635476.6922;1046616.27926275;1964695.40408775;15.2;90;1.7;13;100;982.3;23.2;"Low";"Low";37.6;187;189;45;698.2;"High Consumption";2025;1;21;3;12;"Winter";0
81682.551625;196753.52045;598082.2886000001;1011953.7729355;1888472.1336105;15.5;91;1.5;14.2;99;981.75;18.3;"Low";"Medium";28.2;196;194;55.1;749;"Medium-Low Consumption";2025;1;21;3;13;"Winter";0
86045.9045;198031.18045;643595.607725;986908.1503999999;1914580.843075;16.1;84;3.7;12.9;74;981.2;29.3;"Low";"Low";42.5;203;201;59.8;728.8;"High Consumption";2025;1;21;3;14;"Winter";0
87768.4646;201714.854525;672264.8042;961862.5278645;1923610.6511895;15.9;88;2;14.1;69;980.8;26.450000000000003;"Low";"Low";33.7;201;201;55.4;638.8;"Medium-High Consumption";2025;1;21;3;15;"Winter";0
79859.73634999999;209398.099125;667862.9388125;996491.188202;1953611.9624895;15.65;82;0.2;13.7;91;980.4;23.6;"Low";"Low";36.9;202;204;47.2;485.4;"High Consumption";2025;1;21;3;16;"Winter";0
64778.5425;219542.588925;663461.073425;1031119.8485395;1978902.0533895;15.4;88;0.1;13.4;62;980.5;21.4;"Low";"Low";34.6;193;195;48.6;278.9;"High Consumption";2025;1;21;3;17;"Winter";0
51803.6371;219863.1302;612576.504975;1207824.5699645;2092067.8422395;15.033333333333333;93;0;12.7;100;980.8;20;"Low";"None";34.1;187;187;38.2;71.5;"High Consumption";2025;1;21;3;18;"Winter";0
44757.1245;216308.212575;570822.0608249999;1296160.589663375;2128047.987563375;14.666666666666668;93;0;12.45;100;980.6;18.9;"None";"None";32.3;183;187;38.5;0;"High Consumption";2025;1;21;3;19;"Winter";0
42973.2189;216247.5608625;540147.011175;1384496.60936225;2183864.40029975;14.3;93;0.1;12.2;98;980.5;21.7;"None";"None";34.7;176;179;39.75;0;"High Consumption";2025;1;21;3;20;"Winter";0
59363.48775;216186.90915;519284.214075;1292596.8173735;2087431.4283485;13.5;94;0;11.1;100;980.2;22;"None";"None";36.6;176;178;41;0;"High Consumption";2025;1;21;3;21;"Winter";0
67376.668475;219335.6636;481719.5557;1155984.92510625;1924416.81288125;13.8;94;0;11.35;100;979.9;22.7;"None";"None";37.900000000000006;176;179;41;0;"High Consumption";2025;1;21;3;22;"Winter";0
80331.74192500001;213446.18735;452477.1414;986347.66082775;1732602.73150275;14.1;93;0;11.6;100;980;24;"None";"None";39.2;183;186;43.6;0;"Medium-Low Consumption";2025;1;21;3;23;"Winter";0
85279.37905;211293.4939625;428678.9648;824846.0665937499;1550097.90440625;14.3;93;0;11.8;100;979.7;23.4;"None";"None";38.6;183;187;43.6;0;"Medium-High Consumption";2025;1;22;4;0;"Winter";0
86119.08684999999;209140.800575;416209.883775;709682.24105125;1421152.01225125;12.9;93;2.5;10.1;100;979.3;23.599999999999998;"None";"None";37.7;182;184;48.6;0;"Low Consumption";2025;1;22;4;1;"Winter";0
85443.03075;207869.38029166666;405578.559725;641376.313684;1340267.2844506665;13.4;94;0.2;10.45;72;978.6;23.8;"None";"None";40.4;190;190;46.4;0;"Medium Consumption";2025;1;22;4;2;"Winter";0
89636.7783;206597.96000833335;399302.75535;601672.26652375;1297209.7601820834;13.4;95;0.1;10.8;91;978.3;24;"None";"None";39.6;193;194;47.5;0;"Medium Consumption";2025;1;22;4;3;"Winter";0
83053.057625;205326.539725;402785.71088749997;586446.2355527501;1277611.54379025;13.4;95;0;10.75;97;978;24.3;"None";"None";39.5;192;194;47.5;0;"Medium Consumption";2025;1;22;4;4;"Winter";0
79678.737475;204718.6639;406268.666425;590076.6711445;1280742.7389445002;13.3;94;0;10.7;100;978;23;"None";"None";37.15;189;189;43.9;0;"Medium Consumption";2025;1;22;4;5;"Winter";0
84579.939625;207838.8155;451240.797475;636690.6621215;1380350.2147215;12.9;93;0.1;10.899999999999999;90;978;21.4;"None";"None";34.8;190;193;41.8;0;"Medium Consumption";2025;1;22;4;6;"Winter";0
77469.063125;213456.012225;517375.82125;774264.39325575;1582565.2898557498;12.8;98;3.7;11.1;100;977.8;17;"None";"None";35.15;175;175;41;0;"Medium-High Consumption";2025;1;22;4;7;"Winter";0
66281.7983;218514.14885;631813.5769;886016.40656025;1802625.93061025;13.5;95;0.2;11.2;100;978;21.5;"None";"None";35.5;175;179;43.3;17.1;"Medium-Low Consumption";2025;1;22;4;8;"Winter";0
74816.175875;215768.34015;704230.96705;962573.883241;1957389.366316;13.6;93;0.3;11.5;100;978.1;20.7;"Low";"None";34.4;181;181;45.6;179.4;"High Consumption";2025;1;22;4;9;"Winter";0
88853.356975;212131.290475;711831.66215;1009700.3401575;2022516.6497575;14.6;91;0;12;100;978.2;24.7;"Low";"Low";38.1;182;185;47.9;403.6;"High Consumption";2025;1;22;4;10;"Winter";0
86721.938225;207714.511525;709125.406025;1046118.536368;2049680.392143;15.1;89;0.6;12.2;32;978.5;26.9;"Low";"Low";42;187;188;56.5;583.6;"High Consumption";2025;1;22;4;11;"Winter";0
89608.95425;206484.635775;653082.428525;1071975.433197;2021151.451747;15.9;83;0.7;12.8;53;978.2;27;"Low";"Low";40.3;193;194;52.9;702.4;"High Consumption";2025;1;22;4;12;"Winter";0
89661.24885;205709.664125;623254.0638;1035727.21618975;1954352.1929647499;16;77;0;13.1;100;978;24.4;"Low";"Low";35.4;195;195;60.5;753.6;"High Consumption";2025;1;22;4;13;"Winter";0
92263.9462;207753.6513125;662962.886525;1021819.68188;1984800.1659175;15.2;82;1;12.4;99;977.8;24;"Low";"Low";36.4;203;203;60.8;733.6;"High Consumption";2025;1;22;4;14;"Winter";0
82431.06835;209797.6385;678845.5612250001;994043.7987475;1965118.0668225;14.8;84;2.1;11.4;100;977.5;27.8;"Low";"None";41.8;204;204;52.9;643.9;"High Consumption";2025;1;22;4;15;"Winter";0
65838.17414999999;216089.004;668918.4780875;987392.25668375;1938237.9129212499;15.1;88;0.1;12.3;99;977.8;26.2;"Low";"None";39.6;196;196;54.7;490.5;"High Consumption";2025;1;22;4;16;"Winter";0
57763.920125;221582.913;658991.39495;1041686.035766;1980024.263841;14.8;87;0.6;12.5;73;978.1;20.6;"Low";"None";33.3;205;205;49;284;"High Consumption";2025;1;22;4;17;"Winter";0
49008.3444;225936.915225;610703.889225;1214131.9716349998;2099781.120485;14.1;90;0.1;12.2;60;978.5;18.1;"Low";"None";31.2;204;207;40.3;74;"Medium-High Consumption";2025;1;22;4;18;"Winter";0
45972.68975;223179.45995;571985.532;1346771.5826987498;2187909.26439875;13.6;92;0.1;11.8;82;979.1;16.7;"None";"None";32.25;192;197;32.8;0;"High Consumption";2025;1;22;4;19;"Winter";0
46027.483325;218752.38525;541581.1063250001;1368995.57456575;2175356.5494657503;13.6;92;0;11.5;97;979.6;19.8;"None";"None";33.3;190;194;35.3;0;"High Consumption";2025;1;22;4;20;"Winter";0
57239.08019166667;221245.4421;511176.68065;1249059.222753125;2038720.4256947916;13.6;92;0;11.5;81;980;18.6;"None";"None";31.9;188;192;35.6;0;"High Consumption";2025;1;22;4;21;"Winter";0
68450.67705833333;216061.8695;480772.254975;1129122.8709405;1894407.6724738332;13.5;92;0;11.4;100;980.4;18.9;"None";"None";31.7;194;194;37.8;0;"Medium-Low Consumption";2025;1;22;4;22;"Winter";0
79662.273925;213405.5178;451801.028375;948108.37878925;1692977.19888925;13.4;92;0.1;11.2;98;980.7;19.7;"None";"None";33.4;195;198;35.6;0;"Medium-Low Consumption";2025;1;22;4;23;"Winter";0
88106.764;211599.75145;429322.948475;790588.209633;1519617.673558;13.5;92;0.1;11.6;100;980.8;18.1;"None";"None";29.549999999999997;190;195;35.3;0;"Medium-High Consumption";2025;1;23;5;0;"Winter";0
87076.302675;211258.7998375;416519.054525;679189.373745;1394043.5307825;13.4;96;0.1;12.2;100;981.1;14.9;"None";"None";25.7;198;205;37.1;0;"Medium Consumption";2025;1;23;5;1;"Winter";0
87080.8549;210917.848225;406732.4563;622928.7022855;1327659.8617105;13.4;96;0;12.2;99;981.6;14.6;"None";"None";25.9;200;204;31.700000000000003;0;"Medium Consumption";2025;1;23;5;2;"Winter";0
87085.407125;211916.73685;399817.229675;589594.06273825;1288413.43638825;12.9;96;0;11.7;88;981.7;14.9;"None";"None";27;215;215;26.3;0;"Medium Consumption";2025;1;23;5;3;"Winter";0
88359.759625;212543.0338125;397017.80385;576388.2959445;1274308.893232;12.7;97;0;11.2;100;982;15.3;"None";"None";26.4;196;204;28.1;0;"Medium Consumption";2025;1;23;5;4;"Winter";0
87223.4281375;213169.330775;407948.331875;602165.660934625;1310506.7517221249;12.6;98;0.1;11.2;100;982.4;14.6;"None";"None";24.7;196;203;27.4;0;"Medium Consumption";2025;1;23;5;5;"Winter";0
86087.09664999999;218511.829075;451825.7063;627943.02592475;1384367.6579497498;12.6;97;0.3;11.5;100;983;12.9;"None";"None";21.5;210;217;25.9;0;"Medium Consumption";2025;1;23;5;6;"Winter";0
84863.76482499999;223251.04275;519493.482525;771892.29645075;1599500.5865507498;12.6;99;0.2;12;100;983.75;9.5;"None";"None";16.3;219;237;22.3;0;"Medium-High Consumption";2025;1;23;5;7;"Winter";0
85145.0599125;228849.4458;634050.694225;880168.9529995;1828214.152937;12.6;98;0;12.2;100;984.5;8.4;"None";"None";13.5;214;214;16.6;18.4;"Medium-Low Consumption";2025;1;23;5;8;"Winter";0
85426.355;223365.28155;689797.69545;937606.91296175;1936196.2449617498;12.9;97;0;12.3;100;985.3;9.2;"Low";"Low";14.2;222;234;17.5;182.3;"High Consumption";2025;1;23;5;9;"Winter";0
89137.9403;212172.575775;656660.357075;941167.123797;1899137.9969469998;13.2;95.5;0.1;12.95;100;986.5;8.7;"Low";"Medium";11.1;236;241;18.4;408.5;"Medium-Low Consumption";2025;1;23;5;10;"Winter";0
89460.98060000001;207370.9819;626873.132;936338.62443075;1860043.7189307502;13.6;94;0.1;13.6;100;987.1;6.2;"Low";"Low";7.7;234;234;17.3;587.4;"Medium-Low Consumption";2025;1;23;5;11;"Winter";0
91606.534225;204755.21095;572170.7597;947633.1807885;1816165.6856635;14.2;91;0.3;14.2;98;987.7;6.2;"Low";"Low";7.8;210;209;15.5;706.6;"Medium-Low Consumption";2025;1;23;5;12;"Winter";0
87811.95715;208519.6802;558724.4362;916562.041276;1771618.1148259998;16.2;75;0.1;15.8;84;987.8;7.1;"Low";"Low";8.9;245;245;18.4;758.2;"Medium-Low Consumption";2025;1;23;5;13;"Winter";0
77337.9925;212284.14945;620244.30135;908298.8037695;1818165.2470695;16.4;74;0.1;15.850000000000001;94;987.6;8.4;"Low";"Low";10.2;240;240;19.4;738.5;"Medium-Low Consumption";2025;1;23;5;14;"Winter";0
68738.208375;218512.058725;657461.994925;898278.87453775;1842991.1365627502;16.6;73;0;15.9;46;987.8;8.9;"Low";"Low";11.5;241;241;19.8;649;"Medium-Low Consumption";2025;1;23;5;15;"Winter";0
66605.35775;222500.156775;673472.480475;902244.54804525;1864822.54304525;16.5;72;0;15.7;48;988.3;9.3;"Low";"Low";12.2;254;254;19.8;495.7;"Medium-Low Consumption";2025;1;23;5;16;"Winter";0
47379.03555;229494.099925;655574.55445;966916.071138;1899363.7610630002;15.9;77;0;15.3;45;988.8;7.3;"Low";"Low";11.7;256.5;259.25;19.8;289.1;"Medium Consumption";2025;1;23;5;17;"Winter";0
43347.033825;234267.1062;613477.553325;1149584.09532125;2040675.78867125;13.6;88;0;13.3;3;989.3;6.1;"Low";"Low";14.4;275;273;13;76.6;"High Consumption";2025;1;23;5;18;"Winter";0
43382.263475;229020.83425;571380.5522;1295711.5574975;2139495.2074225;12.7;91;0;12.3;44;989.9;6.1;"None";"None";15.8;256;269;11.5;0;"High Consumption";2025;1;23;5;19;"Winter";0
43591.1401;226219.566125;541858.0717249999;1327894.5493815;2139563.3273315;11.8;94;0;11.1;62;990.5;6.1;"None";"None";14.6;242;260;10.4;0;"High Consumption";2025;1;23;5;20;"Winter";0
51160.498625;227488.2486;511534.7958625;1239435.28031325;2029618.8234007498;11.2;95;0;10.6;16;991.2;6.2;"None";"None";13.3;255;272;10.4;0;"High Consumption";2025;1;23;5;21;"Winter";0
66512.7217;224227.097175;481211.52;1091623.0234533749;1863574.3623283748;10.6;96;0;9.8;35;991.7;6.4;"None";"None";13.5;238;257;11.2;0;"Medium-Low Consumption";2025;1;23;5;22;"Winter";0
84709.95237500001;220602.460575;451784.7731;943810.7665935;1700907.9526435002;10.5;97;0;9.6;100;991.8;6.6;"None";"None";12.4;244;247;11.5;0;"Medium-Low Consumption";2025;1;23;5;23;"Winter";0
89836.656125;218762.372425;428780.962675;794805.38049425;1532185.37171925;10.1;98;0;9.4;1;991.6;4.7;"None";"None";11.3;227;241;11.5;0;"Medium-High Consumption";2025;1;24;6;0;"Winter";1
89606.5328375;220523.398;413989.16355;685433.71367175;1409552.80805925;10.9;99;0;10.6;24;991.6;4.1;"None";"None";9.4;218;246;10.8;0;"Medium Consumption";2025;1;24;6;1;"Winter";1
89376.40955;216839.961825;405324.3584875;625258.087543;1336798.8174055;10.1;100;0;10.3;100;991.6;4.7;"None";"None";10.8;203;227;8.3;0;"Medium Consumption";2025;1;24;6;2;"Winter";1
91657.3333;215747.03165;396659.553425;593927.21636125;1297991.13473625;10.6;100;0;10;100;991.7;5.8;"None";"None";12.8;200;220;10.1;0;"Medium Consumption";2025;1;24;6;3;"Winter";1
81475.84425;214322.275625;393773.67725;581384.97531025;1270956.77243525;11;100;0;10.5;100;991.8;5.4;"None";"None";10.4;217;225;11.9;0;"Medium Consumption";2025;1;24;6;4;"Winter";1
90777.252425;216527.70345;404223.647925;614463.949312125;1325992.553112125;11.1;100;0;10.5;100;991.6;5.9;"None";"None";9.6;206;210;11.9;0;"Medium Consumption";2025;1;24;6;5;"Winter";1
90418.94519999999;218241.5252;460500.4403625;647542.923314;1416703.8340765;11.1;100;0;10.5;100;991.8;6.4;"None";"None";11.3;223;234;12.2;0;"Medium Consumption";2025;1;24;6;6;"Winter";1
90060.63797499999;226032.101;516777.2328;792317.58640325;1625187.55817825;11.2;100;0;10.5;100;992.2;7.5;"None";"None";10.7;237;249;12.95;0;"Medium-High Consumption";2025;1;24;6;7;"Winter";1
82373.8469;230594.253875;630323.805025;897674.2714295001;1840966.1772295001;11.4;98;0;10.9;100;992.4;6.9;"None";"None";10.1;241;241;13.7;19.8;"Medium Consumption";2025;1;24;6;8;"Winter";1
74687.055825;223958.81455;699686.73645;964858.88077;1963191.4875949998;12.1;96;0;11.350000000000001;91;992.9;9.1;"Low";"None";12.9;237.75;241.25;17.3;185.3;"High Consumption";2025;1;24;6;9;"Winter";1
85708.32105;219153.136225;693776.559625;993682.7633915;1992320.7802915;13.1;89;0;11.8;100;993.5;11.9;"Low";"Low";16.2;253;253;23;403.6;"High Consumption";2025;1;24;6;10;"Winter";1
88505.2717;213315.106925;686073.052425;1016708.72892775;2004602.15997775;14;76;0;12.3;100;993.7;11.2;"Low";"Medium";15.3;220;222;23;591.3;"High Consumption";2025;1;24;6;11;"Winter";1
88843.76085833333;217558.2651375;643285.89235;1056239.60756825;2005927.5259140832;14.6;74;0;12.5;100;993.6;14.5;"Low";"Medium";19.3;231;231;28.4;711;"High Consumption";2025;1;24;6;12;"Winter";1
89182.25001666666;221801.42335;623270.993725;1041188.6032955;1975443.2703871666;14.8;73.5;0;12.8;99;992.9;13.8;"Low";"Medium";19.6;223;224;28.4;762.9;"High Consumption";2025;1;24;6;13;"Winter";1
89520.739175;223259.9299;667907.845775;1037774.53147125;2018463.04632125;14.9;73;0;12.8;100;992.2;14.7;"Low";"Medium";19.9;228;229;28.8;705.7;"High Consumption";2025;1;24;6;14;"Winter";1
87692.273175;224718.43645;679698.4876250001;1019373.814326;2011483.0115760001;15.2;71;0;13.4;100;991.5;12.7;"Low";"Medium";17;218;219;29.2;654.2;"High Consumption";2025;1;24;6;15;"Winter";1
75485.144925;227274.5471;674824.999675;1041587.1888599999;2019171.88056;15.2;69;0;13.2;100;991.1;12.6;"Low";"Medium";17.6;218;218;25.6;500.9;"High Consumption";2025;1;24;6;16;"Winter";1
61754.25285;232361.180275;637602.23625;1063800.5633939998;1995518.2327689999;14.8;72;0;13.4;100;991;10.45;"Low";"Low";15.3;226;226;24.1;294.2;"High Consumption";2025;1;24;6;17;"Winter";1
47983.65455;231895.0939875;589861.84445;1216147.1225655;2085887.7155529999;13.4;79;0;12.1;100;990.8;8.3;"Low";"Low";17.3;240;240;16.6;79.2;"High Consumption";2025;1;24;6;18;"Winter";1
46674.899175;231429.0077;554412.2664;1334609.360177;2167125.533452;13.1;81;0;11.8;91;990.8;8.4;"None";"None";17.2;235;235;15.1;0;"High Consumption";2025;1;24;6;19;"Winter";1
45577.2481;226241.9067;523920.56595;1344173.94638125;2139913.66713125;12.2;83;0;10.9;100;990.9;8.6;"None";"None";18.4;213;217;15.1;0;"High Consumption";2025;1;24;6;20;"Winter";1
58870.070225;223535.165875;498226.22725;1243877.35568275;2024508.81903275;11.9;84;0;9.9;96;990.8;12;"None";"None";22.9;196;202;19.8;0;"High Consumption";2025;1;24;6;21;"Winter";1
65557.472475;219445.590025;461953.4632375;1128786.3086275;1875742.834365;11.2;87;0;9.2;98;990.7;11.533333333333333;"None";"None";25.2;203;206;23;0;"Medium-Low Consumption";2025;1;24;6;22;"Winter";1
75623.96075;215007.75960000002;425680.699225;989549.050505;1705861.4700799999;10.5;91;0;8.7;99;990.6;11.066666666666666;"None";"None";22.8;212;212;22;0;"Medium-Low Consumption";2025;1;24;6;23;"Winter";1
85690.44902500001;210569.929175;394748.33505;846878.06005675;1537886.77330675;10.1;93;0;8.2;18;990.5;10.6;"None";"None";23.2;224;224;18.7;0;"Medium-High Consumption";2025;1;25;7;0;"Winter";1
84927.1281375;206132.09875;382004.209775;746479.66701525;1419543.10367775;10.7;93;0;8.7;99;989.9;13.1;"None";"None";26.549999999999997;193;206;23.4;0;"Medium Consumption";2025;1;25;7;1;"Winter";1
84163.80725;205077.0555125;369383.658875;678511.06198475;1337135.58362225;10.9;89;0;8.3;100;989.5999999999999;15.9;"None";"None";29.9;194;200;28.1;0;"Low Consumption";2025;1;25;7;2;"Winter";1
84803.3166;204022.012275;362256.0063;634094.4759192499;1285175.81109425;12.1;81;0;9.4;91;989.3;16.6;"None";"None";28.6;201;207;29.15;0;"Medium Consumption";2025;1;25;7;3;"Winter";1
84232.127425;203421.989675;354629.9193;609626.45196;1251910.4883599998;12.6;78;0;9.9;100;988.8;16.8;"None";"None";28.8;206;211;30.2;0;"Low Consumption";2025;1;25;7;4;"Winter";1
83086.76535;202894.418675;351794.387225;600645.50898475;1238421.0802347502;12.5;81;0.4;9.7;100;988.6;18.3;"None";"None";31.6;218;222;32.4;0;"Low Consumption";2025;1;25;7;5;"Winter";1
86242.992375;202895.65205;359937.882575;620684.47397225;1269761.00097225;12.4;84;1.4;9.5;100;988.45;20;"None";"None";34.5;225;227;35.3;0;"Medium Consumption";2025;1;25;7;6;"Winter";1
85032.7176125;204614.9495;380636.695425;663140.1972845;1333424.559822;12.8;87;2.3;10.1;100;988.3;20.2;"None";"None";34.9;225;225;37.8;0;"Medium Consumption";2025;1;25;7;7;"Winter";1
83822.44284999999;202803.911875;398174.9106;735324.4846045;1420125.7499295;12.2;94;1.5;9.7;100;989.4;15.95;"None";"None";35;246;246;36.4;21.3;"Medium Consumption";2025;1;25;7;8;"Winter";1
81841.069325;198299.72355;388688.53605;818606.193519;1487435.522444;13;97;0.7;12.1;100;990.6;11.7;"Low";"Low";21.4;281;291;35.6;188.5;"Medium-High Consumption";2025;1;25;7;9;"Winter";1
87132.266575;189974.138775;367570.996225;901887.9024335;1546565.3040085002;14.4;90;0;13.149999999999999;30;991.2;13.1;"Low";"Low";19.2;303;304;27.7;415.6;"Medium-High Consumption";2025;1;25;7;10;"Winter";1
78532.35565;185790.6285;352798.56365;919643.0989945;1536764.6467945;15.5;81;0;14.2;7;992.3;13.6;"Low";"Medium";18.6;305;306;28.8;595.4;"Medium-High Consumption";2025;1;25;7;11;"Winter";1
79121.505575;185324.334475;334381.250125;957922.86644575;1556749.95662075;16.2;73;0;14.5;13;992.4;14.3;"Low";"Medium";19.1;307;308;30.6;715.5;"Medium-High Consumption";2025;1;25;7;12;"Winter";1
87553.81265;182673.20205;329733.01581250003;947445.3845725;1547405.415085;16.8;64;0;14.9;24;992.1;12.8;"Low";"Medium";16.6;296;295;28.4;767.7;"Medium-High Consumption";2025;1;25;7;13;"Winter";1
81739.192025;185966.863275;325084.7815;909002.413675;1501793.250475;17;61.5;0;15.2;41;991.7;10.8;"Low";"Medium";14.1;288;289;28.1;748.6;"Medium-High Consumption";2025;1;25;7;14;"Winter";1
85655.8664;191284.578025;332164.96665;880636.875686;1489742.2867609998;17;59;0;15.4;95;991.2;8.6;"Low";"Medium";10.9;278;279;23.8;659.4;"Medium-Low Consumption";2025;1;25;7;15;"Winter";1
86937.81330000001;191832.8251;344657.961625;876242.324185;1499670.92421;16.5;60;0;14.6;88;991.3;9.9;"Low";"Medium";13.4;266;265;19.8;506.2;"Medium-High Consumption";2025;1;25;7;16;"Winter";1
89410.90655;195536.245875;367370.0356;941936.70164025;1594253.8896652502;15.2;68;0;14.1;99;991.6;7.1;"Low";"Low";14.6;264;268;19.8;299.4;"Medium-High Consumption";2025;1;25;7;17;"Winter";1
77251.32955;198919.31495;381321.935775;1096748.56799425;1754241.14826925;12.8;76;0;11.5;74;991.5;6.7;"Low";"Low";16.3;254;264;12.6;81.8;"Medium-Low Consumption";2025;1;25;7;18;"Winter";1
65091.752550000005;198360.129775;373832.222075;1251560.43434825;1888844.53874825;11.5;84;0;10.25;11;992.4;9.3;"None";"None";21.6;283;288;15.8;0;"Medium-Low Consumption";2025;1;25;7;19;"Winter";1
81015.3054;198468.284;359219.5907875;1257933.925097;1896637.1052845002;10.6;87;0;9;0;993.1;8.2;"None";"None";19.8;310;309;16.2;0;"Medium-Low Consumption";2025;1;25;7;20;"Winter";1
83835.27527499999;195634.263175;344606.9595;1168371.05894375;1792447.55689375;9.75;91;0;8.2;91;993.5;6.5;"None";"None";17.1;305;305;14.4;0;"Medium-Low Consumption";2025;1;25;7;21;"Winter";1
89394.0316;195012.43515;325217.844875;1060760.7977346252;1670385.1093596253;8.9;91;0;7.9;21;992.5;6.75;"None";"None";3.3;146;174;13.15;0;"Medium-High Consumption";2025;1;25;7;22;"Winter";1
85418.43825;193083.043875;307499.20855;953150.5365255;1539151.2272005;8.4;94;0;6.7;91;993;7;"None";"None";12.5;198;205;11.9;0;"Medium-High Consumption";2025;1;25;7;23;"Winter";1
86928.720625;193679.090875;293215.63;832103.393776;1405926.835276;8.1;95;0;6.4;91;993;6.8;"None";"None";16.1;208;208;12.6;0;"Medium Consumption";2025;1;26;1;0;"Winter";0
84069.472825;194360.954525;285699.389975;738217.01424575;1302346.83157075;8.1;96;0;6.2;91;992.8;9.1;"None";"None";21.1;170;177;14.600000000000001;0;"Medium Consumption";2025;1;26;1;1;"Winter";0
88546.877475;193207.653325;278822.92275;671314.60649425;1231892.06004425;7.9;95;0;6.1;100;992.6;7.4;"None";"None";20.9;187;184;16.6;0;"Low Consumption";2025;1;26;1;2;"Winter";0
86184.6536875;192025.810125;274847.87792500004;627576.97640925;1180635.31814675;8.05;94;0;5.8;100;991.6;10.100000000000001;"None";"None";25.2;166;174;19.8;0;"Low Consumption";2025;1;26;1;3;"Winter";0
83822.4299;192236.543225;270493.337525;601914.144056;1148466.4547060002;8.2;93;0;5.7;100;991;12.8;"None";"None";27.6;178;182;22.3;0;"Low Consumption";2025;1;26;1;4;"Winter";0
87473.83875;191390.545875;273946.947425;594611.96773725;1147423.29978725;8.9;94;0;6.4;100;990.6;13.1;"None";"None";28;182;188;24.1;0;"Low Consumption";2025;1;26;1;5;"Winter";0
86105.190975;191965.995375;288004.327475;602382.06717425;1168457.58099925;9.6;95;0;7.5;100;990.5;12.5;"None";"None";26.8;185;195;23;0;"Low Consumption";2025;1;26;1;6;"Winter";0
70472.3545;194746.48405;300590.002475;632156.05559175;1197964.89661675;10.2;96;0;8.2;100;990.4;13.2;"None";"None";27.2;183;193;22.7;0;"Low Consumption";2025;1;26;1;7;"Winter";0
70886.232425;195014.490375;309221.835475;661930.04400925;1237052.6022842498;10.6;97;0;8.9;100;990.8;12.7;"None";"None";25.2;186;186;23.4;25.2;"Low Consumption";2025;1;26;1;8;"Winter";0
83669.58335;194507.489125;312839.679675;788809.24761025;1379825.99976025;11.9;97;0;10.5;100;991.1;12.2;"Low";"Low";23.8;189;195;23.6;191.8;"Medium Consumption";2025;1;26;1;9;"Winter";0
90348.538025;191639.663875;317063.889625;929004.75379175;1528056.84531675;13.1;93;0;11.6;100;991.9;14;"Low";"Low";24;193;202;23.8;419.4;"Medium-High Consumption";2025;1;26;1;10;"Winter";0
94455.58755;190116.04035;325389.903825;1052636.11875075;1662597.65047575;14.6;86;0;13.2;100;991.6;14.9;"Low";"Low";23.2;189;192;29.2;599.5;"Medium-High Consumption";2025;1;26;1;11;"Winter";0
86188.01329999999;190359.6056;325890.639825;1149217.27440075;1751655.53312575;16.4;78;0;13.6;100;990.7;24.5;"Low";"Medium";34.5;205;205;42.8;720;"Medium Consumption";2025;1;26;1;12;"Winter";0
90634.037025;192533.70015;324388.715175;1133458.70716275;1741015.1595127499;17.5;73;0;15.1;100;990.4;22;"Low";"Medium";31.2;216;217;46.4;772.6;"Medium-Low Consumption";2025;1;26;1;13;"Winter";0
87773.64425;193598.483625;326649.7413;1072449.4666325;1680471.3358075;17.9;71;0;15.6;91;989.4;22.6;"Low";"Medium";32;216;217;44.3;753.7;"Medium-Low Consumption";2025;1;26;1;14;"Winter";0
90588.19155;193758.577825;329956.035675;1037056.4065005;1651359.2115505;17.9;75;0;15.6;100;989.0999999999999;23.2;"Low";"Medium";34.3;219;219;42.8;664.6;"Medium-High Consumption";2025;1;26;1;15;"Winter";0
82013.372525;193005.01545;334792.27835000004;1047560.5185171249;1657371.184842125;17.5;76;0.1;15.5;100;988.8;22.85;"Low";"Low";37.3;224;225;45.4;511.4;"Medium-High Consumption";2025;1;26;1;16;"Winter";0
